,Label,Spotify,Title,Artist,Featured Artists,feat-string,artist-string,weav-track-prefix,Prefix formula,Genre,ISRC,GRID,source-UPC,Circle of Fifths
856,['recV8wpy5IyMGJx2t'],https://open.spotify.com/search/songs/La%20Roux%20-%20Bulletproof%20,Bulletproof,La Roux,,,La Roux,io.weav.tracks.Bulletproof,Bulletproof,['Pop'],,,,0
857,['recU3ho7stFsvHjd7'],https://open.spotify.com/search/songs/Black%20Eyed%20Peas%20-%20I%20Gotta%20Feeling%20,I Gotta Feeling,Black Eyed Peas,,,Black Eyed Peas,io.weav.tracks.IGottaFeeling,IGottaFeeling,['Pop'],,,,0
858,['rec3rpVUm8SZhWZtn'],https://open.spotify.com/search/songs/John%20Barera%20Will%20Martin%20-%20No%20Games%20,No Games,John Barera,,,John Barera & Will Martin,io.weav.tracks.NoGames,NoGames,['House'],,,,0
859,['rec3rpVUm8SZhWZtn'],https://open.spotify.com/search/songs/John%20Barera%20Will%20Martin%20-%20The%20Sound%20Vibration%20,The Sound Vibration,John Barera,,,John Barera & Will Martin,io.weav.tracks.TheSoundVibration,TheSoundVibration,['House'],,,,0
860,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Sigma%20-%20Coming%20Home%20ft.%20Rita%20Ora%20,Coming Home,Sigma,['rec1sH0lB7uoXkK1C'],Rita Ora,Sigma,io.weav.tracks.ComingHome,ComingHome,['Drum n Bass'],,,,0
861,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Sigma%20-%20Forever%20ft.%20Quavo%20Tinie%20Tempah%20Yxng%20Bane%20Sebastian%20Kole%20,Forever,Sigma,"['recgk0C0E1qXhqJn5', 'rec87XHPH3OpdIcuy', 'rec1ibpRu17qQTIo5', 'recKgN44pDMNjyi2G']",Quavo & Tinie Tempah & Yxng Bane & Sebastian Kole,Sigma,io.weav.tracks.Forever,Forever,['Hip Hop'],,,,0
862,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Garreth%20Maher%20-%20Every%20Littlle%20Step%20,Every Littlle Step,Garreth Maher,,,Garreth Maher,io.weav.tracks.EveryLittlleStep,EveryLittlleStep,['EDM'],,,,0
863,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Chasing%20Abbey%20-%20Talk%20To%20Me%20,Talk To Me,Chasing Abbey,,,Chasing Abbey,io.weav.tracks.TalkToMe,TalkToMe,['EDM'],,,,0
864,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Chasing%20Abbey%20-%20That%20Good%20Thing%20,That Good Thing,Chasing Abbey,,,Chasing Abbey,io.weav.tracks.ThatGoodThing,ThatGoodThing,['EDM'],,,,0
865,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Callum%20Beattie%20-%20Man%20Behind%20The%20Sun%20,Man Behind The Sun,Callum Beattie,,,Callum Beattie,io.weav.tracks.ManBehindTheSun,ManBehindTheSun,['Pop/Rock'],,,,0
866,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Callum%20Beattie%20-%20We%20Are%20Stars%20,We Are Stars,Callum Beattie,,,Callum Beattie,io.weav.tracks.WeAreStars,WeAreStars,['Pop/Rock'],,,,0
867,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Philip%20George%20-%20Wish%20You%20Were%20Mine%20,Wish You Were Mine,Philip George,,,Philip George,io.weav.tracks.WishYouWereMine,WishYouWereMine,['EDM'],,,,0
868,['recTE8UEc8ZYrb1VH'],https://open.spotify.com/search/songs/Lady%20Antebellum%20-%20Bartender%20,Bartender,Lady Antebellum,,,Lady Antebellum,io.weav.tracks.Bartender,Bartender,['Country'],,,,0
869,['recTE8UEc8ZYrb1VH'],https://open.spotify.com/search/songs/Lady%20Antebellum%20-%20Need%20You%20Now%20,Need You Now,Lady Antebellum,,,Lady Antebellum,io.weav.tracks.NeedYouNow,NeedYouNow,['Country'],,,,0
870,['recTE8UEc8ZYrb1VH'],https://open.spotify.com/search/songs/Lady%20Antebellum%20-%20You%20Look%20Good%20,You Look Good,Lady Antebellum,,,Lady Antebellum,io.weav.tracks.YouLookGood,YouLookGood,['Country'],,,,0
871,['recTE8UEc8ZYrb1VH'],https://open.spotify.com/search/songs/Lady%20Antebellum%20-%20I%20Run%20To%20You%20,I Run To You,Lady Antebellum,,,Lady Antebellum,io.weav.tracks.IRunToYou,IRunToYou,['Country'],,,,0
872,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Jen%20Jis%20Feder%20-%20Keep%20Us%20Apart%20ft.%20Bright%20Sparks%20,Keep Us Apart,Jen Jis,['rec4k0vQ7HRixoryc'],Bright Sparks,Jen Jis & Feder,io.weav.tracks.KeepUsApart,KeepUsApart,['EDM'],,,,0
873,['recV8wpy5IyMGJx2t'],https://open.spotify.com/search/songs/Jax%20Jones%20-%20You%20Don't%20Know%20Me%20ft.%20RAYE%20,You Don't Know Me,Jax Jones,['recJIYq4bwPWF3TWk'],RAYE,Jax Jones,io.weav.tracks.YouDontKnowMe,YouDon'tKnowMe,['EDM'],,,,0
874,['recoKVLAWdy7LStoL'],https://open.spotify.com/search/songs/Amber%20Mark%20-%20Heatwave%20,Heatwave,Amber Mark,,,Amber Mark,io.weav.tracks.Heatwave,Heatwave,['EDM'],,,,0
875,['recV8wpy5IyMGJx2t'],https://open.spotify.com/search/songs/Zac%20Samuel%20Moon%20Willis%20-%20Never%20Letting%20Go%20ft.%20Tayá%20,Never Letting Go,Zac Samuel,['reca882dBcXHJ1Lq6'],Tayá,Zac Samuel & Moon Willis,io.weav.tracks.NeverLettingGo,NeverLettingGo,['EDM'],,,,0
876,,https://open.spotify.com/search/songs/Pinkfong%20-%20Baby%20Shark%20Baby%20Shark%20Dance%20Sing%20and%20Dance%20Animal%20Songs%20PINKFONG%20Songs%20for%20Children,Baby Shark,Pinkfong,,,Pinkfong,io.weav.tracks.BabyShark,BabyShark,['Kids'],,,,0
877,['rechDxvy8NgTayPUY'],https://open.spotify.com/search/songs/Kelly%20Clarkson%20-%20Stronger%20(What%20Doesn't%20Kill%20You)%20,Stronger (What Doesn't Kill You),Kelly Clarkson,,,Kelly Clarkson,io.weav.tracks.Stronger,Stronger(WhatDoesn'tKillYou),['Pop'],,,,0
